date,day_of_week,total_patients,male_patients,female_patients,children_patients,adult_patients,elderly_patients,fever_cases,cough_cases,diarrhea_cases,vomiting_cases,skin_rash_cases,animal_bite_cases,paracetamol_used,antibiotics_used,ors_packets_used,malaria_kits_used,temperature,rainfall,humidity
2016-11-28,Monday,59,29,30,13,38,8,8,7,5,2,1,0,7,6,4,0,31.2,20,46
2016-11-29,Tuesday,60,30,30,13,42,5,10,6,3,1,1,0,11,7,2,0,32.7,10,53
2016-11-30,Wednesday,59,28,31,9,45,5,12,10,5,2,1,0,9,4,5,2,29.3,50,90
2016-12-01,Thursday,38,17,21,6,28,4,5,2,1,0,0,0,4,2,0,0,26.7,0,56
2016-12-02,Friday,33,17,16,6,23,4,4,2,1,0,1,0,3,1,1,0,26.7,0,50
2016-12-03,Saturday,30,14,16,6,20,4,3,4,3,1,1,0,2,1,2,0,26.2,20,49
2016-12-04,Sunday,36,18,18,5,28,3,7,5,1,0,0,3,7,4,0,0,27.1,10,51
2016-12-05,Monday,31,14,17,5,23,3,3,5,1,0,0,0,2,2,1,0,24.2,0,61
2016-12-06,Tuesday,33,16,17,7,23,3,4,5,1,0,1,0,3,4,1,0,24.8,10,71
2016-12-07,Wednesday,39,19,20,6,30,3,7,2,1,0,0,0,6,3,0,0,27.6,0,41
2016-12-08,Thursday,60,29,31,9,46,5,14,5,6,3,1,1,13,6,4,0,27.7,20,43
2016-12-09,Friday,40,18,22,8,27,5,5,3,2,1,1,3,5,3,2,0,22.4,0,42
2016-12-10,Saturday,29,14,15,5,21,3,5,2,1,0,1,0,4,3,0,0,26.2,5,51
2016-12-11,Sunday,41,20,21,6,30,5,8,4,2,1,1,0,7,4,2,0,25.5,10,68
2016-12-12,Monday,47,24,23,10,33,4,6,4,2,1,1,0,4,4,1,0,28.9,0,54
2016-12-13,Tuesday,38,17,21,6,28,4,5,4,1,0,1,3,4,2,0,0,26.5,0,50
2016-12-14,Wednesday,30,15,15,6,21,3,3,4,1,0,0,2,2,2,1,0,30.6,10,70
2016-12-15,Thursday,26,13,13,4,19,3,3,1,1,0,0,1,2,1,0,0,26.8,0,52
2016-12-16,Friday,36,19,17,6,26,4,4,5,1,0,1,0,3,2,0,0,26.5,10,42
2016-12-17,Saturday,28,15,13,4,21,3,4,3,1,0,1,0,3,2,0,0,26.1,5,72
2016-12-18,Sunday,20,9,11,3,15,2,3,2,2,1,0,3,3,2,1,2,29.1,50,88
2016-12-19,Monday,41,20,21,8,28,5,5,2,2,1,1,1,5,2,2,0,24.6,0,54
2016-12-20,Tuesday,45,24,21,10,31,4,6,7,4,2,2,0,5,3,4,1,23.4,100,89
2016-12-21,Wednesday,37,20,17,6,27,4,8,5,1,0,0,0,7,3,0,0,26.4,10,47
2016-12-22,Thursday,43,19,24,7,33,3,9,6,4,2,1,0,9,4,4,0,28.4,20,40
2016-12-23,Friday,37,19,18,8,25,4,7,6,3,1,1,0,6,6,2,0,26.7,20,55
2016-12-24,Saturday,42,21,21,9,29,4,6,8,4,2,1,0,5,4,3,0,29.1,50,85
2016-12-25,Sunday,38,19,19,8,26,4,8,5,1,0,0,3,7,6,0,0,24.6,0,73
2016-12-26,Monday,51,25,26,11,34,6,5,4,5,2,1,2,4,2,5,1,24.9,50,77
2016-12-27,Tuesday,31,16,15,6,22,3,5,2,1,0,1,0,5,3,1,0,28.0,0,64
2016-12-28,Wednesday,28,13,15,4,21,3,5,5,2,1,0,0,4,4,2,0,26.2,50,72
2016-12-29,Thursday,33,17,16,7,22,4,7,5,1,0,1,0,7,4,1,0,28.0,0,73
2016-12-30,Friday,58,31,27,10,41,7,8,6,2,1,1,2,8,3,2,0,29.5,10,62
2016-12-31,Saturday,25,13,12,4,18,3,3,4,2,1,0,0,3,2,1,2,25.7,50,89
2017-01-01,Sunday,38,19,19,8,26,4,5,4,1,0,0,0,5,3,0,0,24.7,0,74
2017-01-02,Monday,41,20,21,7,30,4,8,2,2,1,0,0,7,4,1,0,26.8,1,56
2017-01-03,Tuesday,37,18,19,6,29,2,4,5,1,0,1,0,3,4,0,0,27.6,0,52
2017-01-04,Wednesday,29,15,14,6,20,3,4,5,1,0,0,0,3,2,0,0,26.8,0,40
2017-01-05,Thursday,47,23,24,7,34,6,7,5,2,1,0,3,6,3,1,0,24.0,0,42
2017-01-06,Friday,34,15,19,7,24,3,7,5,1,0,1,0,7,5,0,0,23.3,0,73
2017-01-07,Saturday,40,21,19,9,27,4,5,4,2,1,1,3,5,2,1,0,25.6,0,44
2017-01-08,Sunday,33,16,17,7,24,2,4,3,1,0,0,0,3,2,0,0,30.6,2,56
2017-01-09,Monday,33,17,16,5,25,3,5,1,1,0,1,0,4,1,0,0,28.1,0,71
2017-01-10,Tuesday,32,14,18,6,22,4,5,6,1,0,0,0,4,5,0,0,27.6,0,58
2017-01-11,Wednesday,45,24,21,7,32,6,4,8,2,1,0,0,3,2,1,0,27.2,0,74
2017-01-12,Thursday,45,20,25,7,35,3,7,4,2,1,2,0,7,4,1,0,26.6,0,63
2017-01-13,Friday,33,15,18,6,23,4,3,1,1,0,1,0,3,1,1,0,26.8,0,59
2017-01-14,Saturday,20,9,11,3,16,1,4,2,1,0,0,2,3,2,1,0,30.4,1,74
2017-01-15,Sunday,25,13,12,4,18,3,5,3,1,0,0,2,4,3,1,0,22.9,0,48
2017-01-16,Monday,46,22,24,10,31,5,4,3,2,1,1,0,3,3,1,0,27.4,0,56
2017-01-17,Tuesday,24,11,13,5,16,3,3,2,1,0,0,1,2,2,1,0,30.6,0,73
2017-01-18,Wednesday,42,21,21,7,30,5,9,5,2,1,0,1,8,5,1,0,26.7,0,51
2017-01-19,Thursday,43,22,21,9,29,5,8,2,2,1,1,0,8,3,1,0,25.0,0,44
2017-01-20,Friday,38,17,21,6,29,3,9,6,1,0,1,0,9,3,1,0,26.3,1,52
2017-01-21,Saturday,32,17,15,6,22,4,6,2,1,0,0,0,6,3,1,0,26.7,1,66
2017-01-22,Sunday,28,13,15,6,19,3,6,5,1,0,0,0,5,5,1,0,26.2,0,56
2017-01-23,Monday,43,23,20,10,28,5,6,3,2,1,1,0,6,3,2,0,26.6,0,63
2017-01-24,Tuesday,35,18,17,7,25,3,5,4,1,0,0,0,4,2,1,0,24.1,0,71
2017-01-25,Wednesday,34,18,16,6,24,4,4,6,1,0,0,0,4,2,0,0,27.4,1,54
2017-01-26,Thursday,35,16,19,8,24,3,6,2,1,0,0,0,6,1,1,0,28.3,0,66
2017-01-27,Friday,27,14,13,4,21,2,4,1,1,0,0,0,4,1,1,0,25.6,0,45
2017-01-28,Saturday,36,17,19,8,24,4,7,5,1,0,0,0,7,4,0,0,27.4,1,69
2017-01-29,Sunday,35,18,17,7,25,3,6,2,1,0,1,0,4,2,0,0,26.2,1,45
2017-01-30,Monday,35,18,17,5,27,3,5,5,1,0,1,0,5,3,0,0,28.3,0,70
2017-01-31,Tuesday,65,32,33,16,44,5,11,9,3,1,2,0,12,7,2,0,22.7,0,40
2017-02-01,Wednesday,47,23,24,8,36,3,6,9,2,1,0,0,6,6,1,0,27.2,0,46
2017-02-02,Thursday,55,29,26,8,43,4,8,7,2,1,2,0,8,6,2,0,27.8,0,56
2017-02-03,Friday,46,23,23,7,36,3,5,3,2,1,0,0,4,2,2,0,25.7,0,69
2017-02-04,Saturday,41,20,21,9,28,4,9,6,2,1,0,2,7,6,1,0,26.9,1,74
2017-02-05,Sunday,18,8,10,3,14,1,3,3,0,0,0,0,2,1,0,0,26.9,5,58
2017-02-06,Monday,49,24,25,10,35,4,7,7,2,1,1,0,5,4,1,0,27.8,0,47
2017-02-07,Tuesday,27,13,14,5,19,3,3,1,1,0,1,0,2,1,0,0,24.9,0,52
2017-02-08,Wednesday,47,22,25,8,33,6,9,2,2,1,1,0,7,4,1,0,25.6,1,73
2017-02-09,Thursday,40,20,20,7,28,5,6,2,2,1,1,0,5,3,1,0,27.8,1,52
2017-02-10,Friday,20,10,10,3,16,1,2,2,1,0,0,0,1,1,1,0,22.6,0,46
2017-02-11,Saturday,41,18,23,9,28,4,9,2,2,1,0,3,8,4,2,0,26.4,0,61
2017-02-12,Sunday,36,16,20,8,23,5,6,4,1,0,1,0,6,4,1,0,27.4,0,42
2017-02-13,Monday,43,23,20,9,30,4,6,2,2,1,0,0,7,2,1,0,26.1,0,61
2017-02-14,Tuesday,42,21,21,8,30,4,10,3,2,1,1,0,9,5,1,0,24.6,2,62
2017-02-15,Wednesday,37,18,19,7,25,5,8,2,1,0,0,0,8,2,1,0,26.5,0,72
2017-02-16,Thursday,39,19,20,7,27,5,6,6,1,0,1,0,5,5,0,0,27.7,0,74
2017-02-17,Friday,47,24,23,10,33,4,7,7,2,1,1,0,7,6,1,0,30.2,0,54
2017-02-18,Saturday,25,13,12,4,18,3,5,4,1,0,0,1,5,4,0,0,28.8,0,47
2017-02-19,Sunday,38,19,19,8,25,5,8,3,1,0,1,3,6,4,0,0,26.3,0,46
2017-02-20,Monday,36,19,17,8,24,4,7,5,1,0,1,0,7,5,0,0,25.1,0,48
2017-02-21,Tuesday,43,19,24,6,32,5,4,6,2,1,0,0,4,2,2,0,26.8,2,41
2017-02-22,Wednesday,42,21,21,8,29,5,6,3,2,1,1,0,6,3,1,0,27.4,0,59
2017-02-23,Thursday,29,15,14,5,21,3,4,5,1,0,1,1,4,2,1,0,26.8,0,70
2017-02-24,Friday,44,22,22,9,31,4,6,8,2,1,0,1,7,5,2,0,26.3,0,73
2017-02-25,Saturday,33,15,18,8,23,2,4,3,1,0,0,0,3,2,0,0,29.0,1,66
2017-02-26,Sunday,42,19,23,10,27,5,7,2,2,1,1,0,7,3,1,0,30.5,0,67
2017-02-27,Monday,30,14,16,5,22,3,6,2,1,0,0,0,5,3,1,0,28.1,0,65
2017-02-28,Tuesday,42,20,22,8,31,3,4,2,2,1,1,0,3,1,2,0,31.0,1,49
2017-03-01,Wednesday,48,23,25,8,36,4,6,7,2,1,2,0,6,4,2,0,36.4,0,55
2017-03-02,Thursday,36,17,19,7,25,4,4,6,1,0,1,0,3,3,0,0,34.1,0,74
2017-03-03,Friday,41,20,21,8,28,5,9,3,2,1,1,0,8,5,1,0,33.6,0,66
2017-03-04,Saturday,26,12,14,5,18,3,3,4,1,0,0,0,3,1,0,0,34.1,0,57
2017-03-05,Sunday,24,12,12,5,18,1,4,4,1,0,0,0,4,3,0,0,36.5,0,65
2017-03-06,Monday,37,19,18,7,27,3,8,1,1,0,1,0,6,1,0,0,32.0,1,68
2017-03-07,Tuesday,37,19,18,9,23,5,5,3,1,0,1,1,5,2,1,0,35.6,5,48
2017-03-08,Wednesday,51,26,25,8,39,4,8,9,2,1,1,0,8,4,2,0,40.6,0,49
2017-03-09,Thursday,51,23,28,11,35,5,12,8,2,1,1,2,14,8,2,0,38.8,2,68
2017-03-10,Friday,50,24,26,8,37,5,11,2,2,1,1,0,11,4,1,0,32.0,0,62
2017-03-11,Saturday,46,21,25,9,33,4,10,6,2,1,0,0,8,6,1,0,31.7,0,44
2017-03-12,Sunday,49,25,24,8,37,4,8,3,2,1,1,0,8,5,2,0,34.5,0,61
2017-03-13,Monday,41,19,22,8,29,4,6,2,2,1,0,0,4,1,1,0,38.3,0,74
2017-03-14,Tuesday,30,16,14,5,22,3,6,5,1,0,0,0,5,3,1,0,32.5,0,51
2017-03-15,Wednesday,37,19,18,5,28,4,4,5,1,0,1,0,3,3,1,0,33.4,0,49
2017-03-16,Thursday,39,19,20,6,29,4,8,4,1,0,1,0,6,4,1,0,33.3,0,70
2017-03-17,Friday,43,21,22,9,28,6,7,7,2,1,0,0,5,6,1,0,34.5,0,61
2017-03-18,Saturday,22,10,12,5,15,2,3,2,1,0,0,0,3,1,1,0,36.5,0,43
2017-03-19,Sunday,51,24,27,12,35,4,12,9,2,1,1,0,10,10,2,0,37.7,2,47
2017-03-20,Monday,42,20,22,7,32,3,4,2,2,1,1,0,3,2,2,0,38.6,2,52
2017-03-21,Tuesday,37,19,18,8,25,4,5,3,1,0,0,0,5,3,0,0,34.6,0,50
2017-03-22,Wednesday,36,18,18,8,24,4,4,6,1,0,1,2,4,3,1,0,39.8,2,62
2017-03-23,Thursday,26,13,13,4,19,3,3,1,1,0,1,0,3,1,1,0,39.3,0,53
2017-03-24,Friday,40,18,22,9,26,5,9,2,2,1,0,0,9,3,1,0,28.7,0,69
2017-03-25,Saturday,30,15,15,7,21,2,3,2,1,0,1,0,2,1,0,0,36.3,0,45
2017-03-26,Sunday,30,14,16,6,21,3,4,4,1,0,1,3,3,3,0,0,32.0,2,65
2017-03-27,Monday,48,23,25,11,33,4,9,6,2,1,2,0,8,5,2,0,33.1,0,59
2017-03-28,Tuesday,38,18,20,9,24,5,4,4,1,0,1,1,4,2,0,0,30.4,0,62
2017-03-29,Wednesday,28,14,14,5,20,3,3,4,1,0,1,1,2,2,0,0,33.9,1,57
2017-03-30,Thursday,34,17,17,5,25,4,6,4,1,0,0,0,6,4,1,0,38.2,0,45
2017-03-31,Friday,46,24,22,8,32,6,8,7,2,1,1,0,9,5,1,0,34.7,1,51
2017-04-01,Saturday,46,21,25,7,35,4,7,4,2,1,1,0,7,3,2,0,35.1,0,52
2017-04-02,Sunday,46,24,22,10,30,6,8,8,2,1,0,0,8,7,1,0,32.1,1,60
2017-04-03,Monday,42,19,23,7,31,4,5,7,2,1,0,0,5,2,2,0,36.8,2,69
2017-04-04,Tuesday,54,29,25,9,39,6,7,8,2,1,1,0,7,4,2,0,37.8,2,43
2017-04-05,Wednesday,42,22,20,8,29,5,5,2,2,1,0,3,4,3,1,0,34.3,0,49
2017-04-06,Thursday,37,16,21,5,28,4,4,1,1,0,1,0,3,1,1,0,35.1,0,61
2017-04-07,Friday,49,24,25,9,35,5,8,5,2,1,2,0,7,3,1,0,38.6,2,52
2017-04-08,Saturday,51,24,27,9,37,5,8,5,2,1,2,0,6,2,1,0,35.2,0,67
2017-04-09,Sunday,33,15,18,8,21,4,8,1,1,0,0,0,9,4,0,0,41.7,0,69
2017-04-10,Monday,44,22,22,9,32,3,10,8,2,1,2,0,9,4,1,0,38.7,0,40
2017-04-11,Tuesday,55,25,30,12,37,6,5,10,2,1,2,0,5,3,2,0,29.5,0,44
2017-04-12,Wednesday,57,28,29,14,37,6,9,5,2,1,1,0,7,6,2,0,35.0,0,68
2017-04-13,Thursday,49,22,27,7,35,7,11,4,2,1,1,1,10,6,2,0,32.7,0,41
2017-04-14,Friday,52,27,25,12,36,4,10,5,2,1,1,0,8,4,2,0,34.4,0,48
2017-04-15,Saturday,36,17,19,5,28,3,7,1,1,0,1,0,5,3,1,0,32.7,0,68
2017-04-16,Sunday,53,26,27,8,39,6,12,6,2,1,2,0,12,7,1,0,32.7,0,64
2017-04-17,Monday,54,26,28,9,40,5,9,9,2,1,2,0,8,8,2,0,35.4,0,63
2017-04-18,Tuesday,61,29,32,13,40,8,13,3,3,1,1,0,13,4,2,0,32.1,0,63
2017-04-19,Wednesday,57,29,28,8,44,5,14,6,2,1,1,0,14,5,1,0,32.7,0,58
2017-04-20,Thursday,59,26,33,12,42,5,10,6,2,1,1,0,8,5,1,0,29.1,0,74
2017-04-21,Friday,53,24,29,8,41,4,7,2,2,1,1,0,6,3,1,0,36.6,0,63
2017-04-22,Saturday,44,24,20,10,30,4,9,2,2,1,1,0,10,3,2,0,33.4,5,69
2017-04-23,Sunday,61,28,33,11,42,8,9,9,3,1,0,0,9,6,3,0,34.0,1,55
2017-04-24,Monday,50,27,23,9,37,4,11,9,2,1,2,0,12,8,1,0,34.7,1,53
2017-04-25,Tuesday,32,14,18,6,23,3,4,2,1,0,0,0,3,1,1,0,30.3,0,54
2017-04-26,Wednesday,42,22,20,6,31,5,4,7,2,1,1,0,3,3,2,0,38.3,0,50
2017-04-27,Thursday,44,23,21,9,30,5,10,4,2,1,0,0,11,3,2,0,35.0,5,42
2017-04-28,Friday,47,23,24,8,33,6,9,2,2,1,0,3,10,3,1,0,31.0,1,54
2017-04-29,Saturday,46,25,21,8,34,4,7,7,2,1,0,0,8,6,1,0,36.1,2,40
2017-04-30,Sunday,48,24,24,7,36,5,11,9,2,1,0,0,8,9,1,0,36.0,0,69
2017-05-01,Monday,49,25,24,10,35,4,5,3,2,1,2,0,5,3,1,0,35.3,0,49
2017-05-02,Tuesday,56,28,28,9,43,4,9,6,2,1,2,0,8,3,1,0,35.8,2,70
2017-05-03,Wednesday,43,20,23,10,28,5,10,8,2,1,1,0,11,5,1,0,32.3,0,59
2017-05-04,Thursday,49,25,24,8,36,5,10,3,2,1,0,0,9,6,1,0,37.3,0,44
2017-05-05,Friday,61,29,32,10,46,5,9,3,3,1,1,0,7,5,3,0,35.0,1,59
2017-05-06,Saturday,41,20,21,7,29,5,10,6,2,1,1,0,10,3,2,0,33.9,0,56
2017-05-07,Sunday,39,18,21,8,28,3,6,4,1,0,0,0,5,2,0,0,38.2,0,68
2017-05-08,Monday,47,23,24,7,36,4,8,8,2,1,1,0,8,3,1,0,29.8,0,53
2017-05-09,Tuesday,62,28,34,9,48,5,6,4,3,1,1,0,5,3,2,0,32.1,0,44
2017-05-10,Wednesday,60,28,32,12,42,6,14,7,3,1,0,3,14,7,2,0,33.9,0,49
2017-05-11,Thursday,49,23,26,10,33,6,8,8,2,1,0,0,7,4,1,0,37.4,1,50
2017-05-12,Friday,65,29,36,10,50,5,13,6,3,1,0,0,15,4,3,0,33.5,0,50
2017-05-13,Saturday,46,24,22,9,32,5,10,5,2,1,1,0,9,4,1,0,29.4,2,71
2017-05-14,Sunday,52,27,25,9,38,5,11,4,2,1,1,0,11,6,2,0,32.8,1,57
2017-05-15,Monday,45,23,22,9,30,6,4,3,2,1,0,0,3,1,2,0,33.6,1,42
2017-05-16,Tuesday,45,21,24,10,30,5,5,5,2,1,1,0,4,3,2,0,32.7,0,60
2017-05-17,Wednesday,58,29,29,11,40,7,5,10,2,1,2,0,4,3,2,0,41.5,0,43
2017-05-18,Thursday,73,35,38,11,52,10,16,8,3,1,2,0,14,8,3,0,34.3,0,40
2017-05-19,Friday,51,27,24,11,33,7,6,4,2,1,2,3,5,3,1,0,39.6,0,52
2017-05-20,Saturday,48,24,24,8,34,6,9,3,2,1,1,0,9,4,1,0,30.5,0,74
2017-05-21,Sunday,50,22,28,11,32,7,9,8,2,1,1,0,8,6,1,0,27.1,0,60
2017-05-22,Monday,53,27,26,10,36,7,12,4,2,1,1,0,10,7,1,0,36.1,0,55
2017-05-23,Tuesday,45,20,25,10,31,4,9,4,2,1,0,1,7,3,2,0,29.4,0,57
2017-05-24,Wednesday,51,23,28,11,34,6,10,4,2,1,1,1,11,3,2,0,33.7,0,66
2017-05-25,Thursday,49,23,26,8,37,4,8,3,2,1,1,0,7,5,1,0,37.0,0,51
2017-05-26,Friday,51,25,26,8,36,7,8,3,2,1,1,0,7,3,1,0,36.2,0,46
2017-05-27,Saturday,38,20,18,6,29,3,5,5,1,0,1,0,4,4,0,0,34.2,0,65
2017-05-28,Sunday,35,19,16,6,24,5,6,5,1,0,0,0,6,5,1,0,29.7,0,54
2017-05-29,Monday,48,24,24,8,33,7,6,6,2,1,1,0,5,3,2,0,38.1,0,59
2017-05-30,Tuesday,53,26,27,9,38,6,7,7,2,1,0,0,6,3,1,0,33.8,5,70
2017-05-31,Wednesday,44,23,21,6,34,4,9,8,2,1,0,0,9,8,1,0,32.8,0,68
2017-06-01,Thursday,57,30,27,11,39,7,13,6,2,1,2,0,12,8,1,0,28.9,10,61
2017-06-02,Friday,61,31,30,12,43,6,6,5,3,1,2,0,6,4,2,0,26.7,0,43
2017-06-03,Saturday,53,26,27,12,36,5,8,4,2,1,1,0,7,3,1,0,31.7,0,67
2017-06-04,Sunday,44,23,21,10,31,3,5,3,2,1,1,0,4,3,1,0,31.9,0,50
2017-06-05,Monday,57,28,29,13,40,4,8,3,2,1,2,0,7,4,1,0,33.3,0,67
2017-06-06,Tuesday,45,21,24,8,32,5,5,4,2,1,0,0,4,4,2,0,28.3,0,64
2017-06-07,Wednesday,49,26,23,11,34,4,11,2,2,1,0,0,10,5,1,0,29.0,2,63
2017-06-08,Thursday,60,28,32,9,45,6,9,9,3,1,1,0,9,5,3,0,30.9,2,40
2017-06-09,Friday,51,26,25,9,35,7,11,3,2,1,2,0,9,6,2,0,29.2,0,45
2017-06-10,Saturday,34,18,16,5,25,4,3,1,3,1,1,1,2,1,3,0,33.1,20,40
2017-06-11,Sunday,50,25,25,9,37,4,9,6,2,1,1,0,7,5,2,0,31.0,10,63
2017-06-12,Monday,40,20,20,7,29,4,9,7,2,1,1,0,7,7,1,0,29.7,0,45
2017-06-13,Tuesday,47,23,24,11,31,5,8,7,2,1,1,0,9,7,1,0,29.0,2,52
2017-06-14,Wednesday,52,26,26,8,38,6,6,5,2,1,1,0,5,4,1,0,30.6,0,62
2017-06-15,Thursday,56,30,26,12,37,7,12,9,2,1,1,0,12,6,2,0,29.7,0,63
2017-06-16,Friday,51,26,25,12,33,6,8,8,2,1,0,0,7,7,1,0,28.1,0,40
2017-06-17,Saturday,46,24,22,7,33,6,7,2,2,1,2,0,6,2,1,0,30.4,0,54
2017-06-18,Sunday,37,19,18,7,26,4,5,3,1,0,0,0,5,3,1,0,29.8,0,72
2017-06-19,Monday,59,29,30,11,41,7,9,9,2,1,2,0,7,4,1,0,29.5,0,70
2017-06-20,Tuesday,54,28,26,12,35,7,12,10,2,1,2,0,10,8,1,0,31.2,2,73
2017-06-21,Wednesday,64,33,31,10,48,6,12,6,3,1,1,0,12,8,2,0,31.3,0,67
2017-06-22,Thursday,59,29,30,9,42,8,9,4,2,1,1,1,7,6,1,0,29.8,5,44
2017-06-23,Friday,41,21,20,8,28,5,7,2,2,1,1,0,7,3,2,0,28.1,0,71
2017-06-24,Saturday,46,24,22,11,29,6,10,2,2,1,1,2,10,4,1,0,33.6,0,40
2017-06-25,Sunday,57,27,30,12,41,4,10,10,2,1,1,0,8,7,1,0,30.6,5,40
2017-06-26,Monday,52,28,24,11,34,7,10,9,2,1,1,0,11,3,1,0,27.2,0,43
2017-06-27,Tuesday,61,30,31,11,42,8,7,7,3,1,1,3,5,3,3,0,31.7,5,41
2017-06-28,Wednesday,46,22,24,9,33,4,8,2,2,1,2,0,9,3,1,0,29.7,0,63
2017-06-29,Thursday,66,32,34,12,45,9,16,12,3,1,1,0,13,13,2,0,27.7,0,62
2017-06-30,Friday,49,26,23,10,33,6,8,3,2,1,1,0,7,3,2,0,30.2,0,62
2017-07-01,Saturday,47,23,24,10,33,4,11,4,2,1,0,1,10,6,1,0,30.7,0,49
2017-07-02,Sunday,42,22,20,7,31,4,4,8,2,1,1,0,4,5,1,0,31.5,0,51
2017-07-03,Monday,53,27,26,12,37,4,9,3,2,1,2,0,10,2,1,0,25.9,0,74
2017-07-04,Tuesday,51,27,24,11,34,6,9,4,2,1,1,0,7,4,2,0,31.6,0,71
2017-07-05,Wednesday,59,31,28,11,43,5,6,7,2,1,2,0,5,4,1,0,27.3,0,48
2017-07-06,Thursday,60,30,30,14,40,6,11,11,3,1,2,0,11,7,2,0,33.0,0,65
2017-07-07,Friday,51,23,28,9,37,5,6,8,2,1,2,0,7,5,1,0,33.8,0,57
2017-07-08,Saturday,37,16,21,5,29,3,8,6,1,0,0,0,8,5,0,0,30.3,0,65
2017-07-09,Sunday,45,20,25,9,32,4,10,4,2,1,0,0,9,5,2,0,31.7,5,71
2017-07-10,Monday,57,30,27,10,39,8,9,7,2,1,1,1,10,7,2,0,32.2,0,45
2017-07-11,Tuesday,55,30,25,9,39,7,11,9,2,1,2,0,11,9,1,0,30.8,0,57
2017-07-12,Wednesday,54,28,26,10,38,6,12,10,5,2,0,1,12,10,4,0,32.4,20,66
2017-07-13,Thursday,52,26,26,12,33,7,5,3,2,1,2,0,5,1,2,0,31.7,0,50
2017-07-14,Friday,56,28,28,8,43,5,6,3,2,1,2,0,6,2,1,0,29.0,0,53
2017-07-15,Saturday,45,24,21,6,34,5,7,7,2,1,0,0,7,2,1,0,30.1,0,51
2017-07-16,Sunday,47,22,25,10,33,4,9,2,4,2,2,1,9,2,4,0,31.3,20,59
2017-07-17,Monday,50,24,26,11,33,6,7,8,2,1,0,3,7,4,1,0,30.5,5,45
2017-07-18,Tuesday,43,19,24,6,34,3,5,3,2,1,0,0,4,2,2,0,30.0,2,61
2017-07-19,Wednesday,69,34,35,16,48,5,8,5,3,1,2,0,7,4,2,0,26.1,0,41
2017-07-20,Thursday,60,32,28,14,40,6,10,8,6,3,2,0,8,8,6,0,29.2,20,44
2017-07-21,Friday,47,22,25,8,33,6,9,2,2,1,1,0,8,5,1,0,30.6,0,57
2017-07-22,Saturday,37,20,17,7,27,3,8,2,3,1,1,0,8,4,2,0,31.6,20,53
2017-07-23,Sunday,62,28,34,13,43,6,9,11,3,1,1,1,10,8,2,0,26.6,5,54
2017-07-24,Monday,45,21,24,7,34,4,8,7,2,1,0,0,7,6,1,0,28.8,5,69
2017-07-25,Tuesday,48,24,24,8,34,6,7,3,2,1,2,0,7,2,1,0,31.6,10,72
2017-07-26,Wednesday,64,33,31,12,44,8,13,10,3,1,1,0,14,10,3,0,25.8,0,60
2017-07-27,Thursday,61,33,28,11,43,7,7,7,3,1,2,3,6,3,3,0,34.0,0,71
2017-07-28,Friday,54,26,28,11,38,5,7,2,2,1,2,0,6,3,1,0,30.6,0,49
2017-07-29,Saturday,57,26,31,9,40,8,11,6,2,1,1,0,11,4,2,0,31.7,0,64
2017-07-30,Sunday,62,29,33,14,42,6,8,7,3,1,1,0,7,6,3,0,27.6,0,53
2017-07-31,Monday,52,25,27,10,37,5,9,3,2,1,1,3,9,3,2,0,27.6,5,67
2017-08-01,Tuesday,75,40,35,13,51,11,16,6,3,1,2,3,18,6,2,0,28.3,10,52
2017-08-02,Wednesday,56,26,30,9,41,6,12,6,2,1,1,0,13,4,1,0,27.5,5,73
2017-08-03,Thursday,48,21,27,7,36,5,7,9,2,1,0,0,7,6,1,0,28.2,5,55
2017-08-04,Friday,46,21,25,11,29,6,9,6,2,1,2,0,7,6,1,0,32.5,2,68
2017-08-05,Saturday,32,16,16,6,23,3,5,2,1,0,0,3,5,1,1,0,28.1,5,48
2017-08-06,Sunday,38,18,20,7,28,3,8,2,1,0,1,0,7,2,1,0,33.1,0,63
2017-08-07,Monday,66,35,31,16,44,6,10,7,3,1,2,0,9,6,2,0,30.6,0,61
2017-08-08,Tuesday,36,16,20,8,25,3,4,5,1,0,1,0,4,3,0,0,28.0,0,49
2017-08-09,Wednesday,62,30,32,11,46,5,6,6,3,1,0,0,6,4,2,0,28.8,5,63
2017-08-10,Thursday,50,23,27,9,36,5,10,4,2,1,1,0,10,6,1,0,29.0,0,40
2017-08-11,Friday,45,20,25,9,31,5,7,6,2,1,1,0,5,5,1,0,30.6,2,56
2017-08-12,Saturday,44,23,21,7,31,6,8,3,2,1,1,0,7,2,1,0,29.2,0,74
2017-08-13,Sunday,51,22,29,7,40,4,12,8,2,1,1,0,12,6,1,0,30.3,5,43
2017-08-14,Monday,49,22,27,10,32,7,11,8,2,1,1,0,10,7,1,0,30.0,2,52
2017-08-15,Tuesday,47,23,24,8,33,6,4,6,2,1,2,0,3,2,1,0,26.6,0,48
2017-08-16,Wednesday,58,29,29,10,44,4,11,3,2,1,2,1,12,4,2,0,30.2,0,47
2017-08-17,Thursday,47,21,26,7,36,4,7,2,2,1,0,0,6,2,1,0,30.0,0,64
2017-08-18,Friday,55,30,25,12,39,4,6,5,2,1,2,2,6,2,1,0,27.8,0,68
2017-08-19,Saturday,48,23,25,7,35,6,10,4,2,1,1,0,11,4,2,0,28.8,5,43
2017-08-20,Sunday,52,27,25,11,37,4,10,3,5,2,0,3,9,2,4,0,31.2,20,47
